Origin_airport,Destination_airport,Total_Passengers,Org_airport_lat,Org_airport_long,Dest_airport_lat,Dest_airport_long
ATL,MSP,8209928,33.6366996765137,-84.4281005859375,44.8819999695,-93.2218017578
STL,PHX,8189968,38.7486991882324,-90.370002746582,33.4342994689941,-112.012001037598
SEA,DFW,8188143,47.4490013122559,-122.30899810791,32.896800994873,-97.0380020141602
FLL,JFK,8145626,26.0725994110107,-80.152702331543,40.63980103,-73.77890015
ATL,PHX,8135720,33.6366996765137,-84.4281005859375,33.4342994689941,-112.012001037598
ATL,LAS,8133243,33.6366996765137,-84.4281005859375,36.08010101,-115.1520004
SAT,DAL,8119335,29.5337009429932,-98.4698028564453,32.8470993041992,-96.8517990112305
MCO,JFK,8113885,28.4293994903564,-81.3089981079102,40.63980103,-73.77890015
EWR,IAH,8095563,40.6925010681152,-74.168701171875,29.9843997955322,-95.3414001464844
CLE,ORD,8079465,41.4117012024,-81.8498001099,41.97859955,-87.90480042
ORD,CLE,8078455,41.97859955,-87.90480042,41.4117012024,-81.8498001099
PHX,ATL,8074703,33.4342994689941,-112.012001037598,33.6366996765137,-84.4281005859375
SMF,LAX,8056899,38.6954002380371,-121.591003417969,33.94250107,-118.4079971
DAL,SAT,8053747,32.8470993041992,-96.8517990112305,29.5337009429932,-98.4698028564453
JFK,FLL,8049633,40.63980103,-73.77890015,26.0725994110107,-80.152702331543
ORD,SAN,8047190,41.97859955,-87.90480042,32.7336006165,-117.190002441
LAX,SMF,8032504,33.94250107,-118.4079971,38.6954002380371,-121.591003417969
SFO,PDX,8001202,37.6189994812012,-122.375,45.58869934,-122.5979996
SEA,LAS,7952387,47.4490013122559,-122.30899810791,36.08010101,-115.1520004
IAH,EWR,7949552,29.9843997955322,-95.3414001464844,40.6925010681152,-74.168701171875
BOS,DFW,7932703,42.36429977,-71.00520325,32.896800994873,-97.0380020141602
ATL,SFO,7929127,33.6366996765137,-84.4281005859375,37.6189994812012,-122.375
PDX,SFO,7917881,45.58869934,-122.5979996,37.6189994812012,-122.375
MCI,DFW,7916476,39.2976,-94.713898,32.896800994873,-97.0380020141602
SAN,ORD,7854273,32.7336006165,-117.190002441,41.97859955,-87.90480042
DFW,MCI,7851206,32.896800994873,-97.0380020141602,39.2976,-94.713898
PHX,STL,7827930,33.4342994689941,-112.012001037598,38.7486991882324,-90.370002746582
EWR,MIA,7827201,40.6925010681152,-74.168701171875,25.7931995391846,-80.2906036376953
DTW,LGA,7816758,42.2123985290527,-83.353401184082,40.77719879,-73.87259674
SFO,EWR,7810122,37.6189994812012,-122.375,40.6925010681152,-74.168701171875
LGA,DTW,7776949,40.77719879,-73.87259674,42.2123985290527,-83.353401184082
SAN,SJC,7731917,32.7336006165,-117.190002441,37.3625984191895,-121.929000854492
BWI,ORD,7728332,39.17539978,-76.66829681,41.97859955,-87.90480042
STL,MDW,7701025,38.7486991882324,-90.370002746582,41.7859992980957,-87.7524032592773
ORD,BWI,7687539,41.97859955,-87.90480042,39.17539978,-76.66829681
SAV,ATL,7684142,32.12760162,-81.20210266,33.6366996765137,-84.4281005859375
STL,MCI,7676396,38.7486991882324,-90.370002746582,39.2976,-94.713898
ORD,MCI,7668419,41.97859955,-87.90480042,39.2976,-94.713898
MIA,EWR,7656429,25.7931995391846,-80.2906036376953,40.6925010681152,-74.168701171875
DFW,SNA,7642389,32.896800994873,-97.0380020141602,33.67570114,-117.8679962
MCI,STL,7616311,39.2976,-94.713898,38.7486991882324,-90.370002746582
LAS,SEA,7595073,36.08010101,-115.1520004,47.4490013122559,-122.30899810791
BOS,MCO,7571026,42.36429977,-71.00520325,28.4293994903564,-81.3089981079102
