Origin_airport,Destination_airport,Total_Passengers,Total_Flights,Total_Seats,Seat_Utilization,Org_airport_lat,Org_airport_long,Dest_airport_lat,Dest_airport_long,Usage_Category
ORD,HNL,3339401,13917,3979186,0.8392171162644823,41.97859955,-87.90480042,21.3187007904053,-157.921997070312,Sovra-Utilizzata
SMF,ORD,3339047,31161,4373520,0.7634690135177157,38.6954002380371,-121.591003417969,41.97859955,-87.90480042,Sovra-Utilizzata
OAK,DFW,3337721,36295,4867102,0.6857717385006519,37.7212982177734,-122.221000671387,32.896800994873,-97.0380020141602,Sovra-Utilizzata
TPA,BOS,3336681,32344,4588779,0.7271391801609971,27.9755001068115,-82.533203125,42.36429977,-71.00520325,Sovra-Utilizzata
ORD,SMF,3330363,31740,4386084,0.759302147428093,41.97859955,-87.90480042,38.6954002380371,-121.591003417969,Sovra-Utilizzata
PIT,TPA,3326689,31516,4344365,0.7657480437302114,40.49150085,-80.23290253,27.9755001068115,-82.533203125,Sovra-Utilizzata
PHX,OMA,3325891,35389,4536309,0.7331711750676596,33.4342994689941,-112.012001037598,41.3031997680664,-95.8940963745117,Sovra-Utilizzata
MSP,FAR,3325836,51508,5504315,0.6042234138126179,44.8819999695,-93.2218017578,46.9207000732422,-96.815803527832,Sotto-Utilizzata
EWR,SEA,3325286,27229,5025420,0.661693152015155,40.6925010681152,-74.168701171875,47.4490013122559,-122.30899810791,Sovra-Utilizzata
OMA,PHX,3311179,35286,4518476,0.7328088054467923,41.3031997680664,-95.8940963745117,33.4342994689941,-112.012001037598,Sovra-Utilizzata
PBI,JFK,3310943,27516,4297220,0.7704848716146718,26.6832008361816,-80.0955963134766,40.63980103,-73.77890015,Sovra-Utilizzata
PIT,LAX,3307113,26337,4405905,0.7506092391914941,40.49150085,-80.23290253,33.94250107,-118.4079971,Sovra-Utilizzata
JFK,PBI,3304411,27527,4298555,0.7687260021100114,40.63980103,-73.77890015,26.6832008361816,-80.0955963134766,Sovra-Utilizzata
ORD,SYR,3303891,57768,5417306,0.6098771234262934,41.97859955,-87.90480042,43.111198425293,-76.1063003540039,Sotto-Utilizzata
TPA,PIT,3295715,30949,4187533,0.7870302156424797,27.9755001068115,-82.533203125,40.49150085,-80.23290253,Sovra-Utilizzata
MDW,LGA,3292185,36881,5043551,0.6527514047146544,41.7859992980957,-87.7524032592773,40.77719879,-73.87259674,Sovra-Utilizzata
SFO,MIA,3291558,22849,4534182,0.72594306977532,37.6189994812012,-122.375,25.7931995391846,-80.2906036376953,Sovra-Utilizzata
ELP,DAL,3273090,39126,5147391,0.6358735911066402,31.80719948,-106.3779984,32.8470993041992,-96.8517990112305,Sovra-Utilizzata
STL,TPA,3272074,33930,4673046,0.700201538782199,38.7486991882324,-90.370002746582,27.9755001068115,-82.533203125,Sovra-Utilizzata
CLT,LAX,3264924,26253,4404946,0.7411950112441787,35.2140007019043,-80.9430999755859,33.94250107,-118.4079971,Sovra-Utilizzata
SJC,RNO,3262133,41811,5671562,0.575173647048203,37.3625984191895,-121.929000854492,39.4990997314453,-119.767997741699,Sotto-Utilizzata
MHT,PHL,3260342,44081,4939243,0.6600894104622915,42.9325981140137,-71.4356994628906,39.871898651123,-75.241096496582,Sovra-Utilizzata
PIT,DTW,3258623,69835,6236891,0.5224755410989225,40.49150085,-80.23290253,42.2123985290527,-83.353401184082,Sotto-Utilizzata
TPA,STL,3253933,32994,4551948,0.7148440623662661,27.9755001068115,-82.533203125,38.7486991882324,-90.370002746582,Sovra-Utilizzata
BNA,MCO,3252538,38305,4517402,0.7200018948944549,36.1245002746582,-86.6781997680664,28.4293994903564,-81.3089981079102,Sovra-Utilizzata
LGA,MDW,3252370,36822,5017324,0.648228019557836,40.77719879,-73.87259674,41.7859992980957,-87.7524032592773,Sovra-Utilizzata
CMH,CVG,3250037,44034,5225188,0.6219942708281501,39.9980010986328,-82.8918991088867,39.0488014221,-84.6678009033,Sotto-Utilizzata
